smiles,penalized_logp
C[C@@H](C(=O)NC1CCCC1)N1CC[NH+](C2CCCCCCC2)CC1,-8.211044222801522
CN1N=C(C(=O)NC23CC4CC(CC(C4)C2)C3)C=CC1=O,-8.212004405675176
COC1=CC=C(C[NH2+][C@H](C)C23CC4CC(CC(C4)C2)C3)C=C1CN1CCOCC1,-8.21331181073662
O=C([O-])C1[NH+]=C2C=CC=CC2=[NH+]1,-8.213720152265891
COC(=O)C1=C(NC(=O)C2(NC=O)C3CC4CC(C3)CC2C4)C=CS1,-8.214384686147188
NC(=O)N1CCC[C@H](C(=O)NCC2=CC=C(C[NH+]3CCCCCCC3)C=C2)C1,-8.215307865146059
C[NH2+][C@H](C)C(C)(C)C[NH+]1CCC[C@@H](C)CC1,-8.217587761423264
CC(C)=CC[NH+]1C[C@H]2CC[C@@H]1CN(C(=O)CCN1C=CC(=O)NC1=O)C2,-8.217852311068038
O=C(N[C@@H]1CCCCC[C@H]1C(=O)[O-])[C@@H]1CCC[NH2+]1,-8.221906189054492
C[C@@]12CC3CC(NC4=NC(Cl)=NC(Cl)=N4)(C1)C[C@](C)(C3)C2,-8.22422434210676
N[C@H](CC[NH+]1CCCCCCC1)C1=CC(F)=CC(F)=C1,-8.22941892931068
C[NH+]1CCC(C[NH+](C)[C@H]2CC[C@](N)(C(=O)[O-])C2)CC1,-8.232543905880615
O=C(N1CCOCC1)C12C[C@H]3C[C@@H](C1)CC(C1=CC=C([N+](=O)[O-])C=C1)(C3)C2,-8.23312974304054
[NH3+][C@@H]1CCCCC[C@H]1C(=O)N1CC[NH+]2CCCC[C@@H]2C1,-8.235503743950613
CCN1N=C(C(=O)N2CCC[NH+](C)CC2)C2=C1CC[C@@H]([NH+](C)CC(C)C)C2,-8.236056540061663
CC(C)(O)CNC(=O)CCNC(=O)NC12CC3CC(CC(C3)C1)C2,-8.240614869558502
CN1CCC[NH+](CC2=CC=C([C@@H]3CCCCO3)O2)CC12CC[NH+](C)CC2,-8.241024346709926
CC(C)C[C@@H](C#N)C(=O)C12CC3C[C@](C)(C1)C[C@@](C)(C3)C2,-8.24902399028975
COC(=O)[C@H]1[NH+]=C2C=CC=CC2=C2NC(=O)C(C3=CC=C(F)C=C3)=NN2[C@H]1C(=O)OC,-8.249825429470404
[NH3+][C@H]1CCCCC[C@@H]1C(=O)N1CCC[NH+]2CCC[C@@H]2C1,-8.25039408296564
CC[C@H](C)N1C(N)=[NH+]C[C@@]12C[NH+]1CCC2CC1,-8.252913005267354
COCC1=CC(C[NH2+]CC(=O)NC2CCCCCCC2)=NN1,-8.253435410426079
CC1=CC(C(=O)NCC23CC4CC(CC(C4)C2)C3)=C2C([O-])=NN(C)C2=N1,-8.254052688210908
C[NH+]1CCN(C[C@H]2C[NH+]3CC[C@H]2C[C@@H]3CNS(C)(=O)=O)CC1,-8.25474993906192
C[C@@H]1C[C@H]([NH3+])C[NH+](CCC(=O)[O-])C1,-8.25495878344867
O=C(NCC12CC3CC(CC(C3)C1)C2)N1CCN(C(=O)[C@H]2CCCO2)CC1,-8.260486674751547
