smiles,penalized_logp
COc1cc2c(cc1OC)CC([NH3+])C2,-1.093859636372275
C[C@@H]1CC[C@@H](C(N)=O)CN1C(=O)c1nnn[n-]1,-4.277848097098042
CC[NH+]1CC[C@@H](CNCc2ccc([O-])c[nH+]2)C1,-6.363625068887799
OC[C@@H](Br)C(F)(F)Br,-1.6939564240424203
CNC(=O)/C(C#N)=C(/[O-])C1=NN(c2cc(C)ccc2C)C(=O)CC1,-1.2341880927080884
C[NH+](C)CCS[C@@H]1C[C@H](C(C)(C)C)CC[C@@H]1C#N,-2.2591334771755687
CN(c1ncnc(N2CCN(c3cccc[nH+]3)CC2)c1[N+](=O)[O-])C1CC[NH+](C)CC1,-3.25638337971508
COc1cc(C[NH+]2CC[C@@H]([NH+]3CCCC3)C2)ccc1OCC(=O)N1CCCC1,-3.8781499941467117
COCCN1C[C@@]23C=C[C@@H](O2)[C@H](C(=O)N(C)Cc2cnccn2)[C@H]3C1=O,-4.127424045417905
COc1ccc(/C=C2\SC(=O)N(CC(=O)NCC(=O)[O-])C2=O)cc1OC,-1.2094102234836006
COCC[NH+]1CC[C@H]2CCCC[C@@H]2C1,-3.2404752919827717
CCC[NH+](C1CCC([NH3+])CC1)[C@H]1CCOC1,-5.069362008040052
CC(C)CNC(=O)[C@H](C)[NH+]1CCCN(CC[NH3+])CC1,-8.797655557582807
CN(CC[C@@H]1CCC[C@]1(N)C#N)CC[NH+]1CCCC1,-4.339135713333125
OC[C@H]1C[NH+](Cc2ccccc2)CCC12OCCO2,-3.8948599665739088
CC[C@@H](O)[C@@]1(C[NH3+])CCC[C@H](C)C1,-2.6029163294675763
OCc1cn2c(n1)OC(Cl)=CC2,-2.0527359910369376
CCn1ccnc(N2CCCC[C@@H](N3CC[NH+](C)CC3)C2)c1=O,-6.502348709178531
COCCOC[C@H]1CC[NH+](C2C[C@@H](C)O[C@H](C)C2)C1,-3.5632495040614534
NC(=O)C1(N2CCCC2)CC[NH2+]CC1,-3.6585066489060867
CC[C@H](C)[NH+]1[C@@H](C(=O)[O-])CC[C@H]2CCCC[C@H]21,-4.267612360914766
C=CCn1c(C)nn(C[NH+]2CCC[C@H](C(=O)NCCC)C2)c1=S,-2.8280727492617737
O=C(N[C@@H](C(=O)[O-])c1ccccc1)C1CCC(CNC(=O)[C@@H]2Cc3ccccc3C[NH2+]2)CC1,-2.5116509764390904
COC[C@H](O)C[NH+]1CCC(C)(C)C1,-4.615499547368717
C[C@@H](C(=O)[O-])[C@@H](N[S@](=O)C(C)(C)C)C(C)(C)C,-2.6571450783714696
O=c1n(CCO)c2ccccc2n1CCO,-0.5588590709415964
Cc1ccc(C[NH+](C)[C@@H](C)C(=O)NCCc2ccc3c(c2)OCCO3)o1,-1.667608973849649
Cc1[nH+]cn(C[C@H](C)[C@H]2CC[NH+]3CCC[C@H]23)c1C,-5.1213539717685315
O=C([O-])c1ccc(CNC(=O)c2cnns2)o1,-1.9838389747315688
C=CCC[C@@H](C)[NH+](C)CCc1nccs1,-2.4830530296537496
C[C@H](Cn1ccnc1)NS(C)(=O)=O,-1.6074174134017891
CNC(=O)[C@@H]1CCCN(S(=O)(=O)c2c(C)nn(CC(=O)NC(C)(C)C)c2C)C1,-1.0514554673120224
CSCC(=O)NNC(=O)NC[C@@]1([NH+](C)C)CCC[C@H](C)C1,-3.3520653671697827
CCNC(=O)c1cccc(NC(=O)C[NH+](C)CC)c1,-1.9346721681418955
CCC[NH2+][C@@H]1COC[C@H]1C(=O)NCc1cscc1C,-2.9291902178668083
C=C(C)CN/C(N)=[NH+]\Cc1ccc(C)cc1N(C)C,-2.0329861808529834
CCO[C@@H]1C[C@@H]([NH+](C)C[C@@H]2CCCN(S(C)(=O)=O)C2)C12CCCCC2,-3.0629378940350946
N#Cc1cn(C[C@H]2CCCC[C@H]2O)c(=O)nc1[O-],-2.8483417840555774
C[C@H](CSc1ccc(C(=O)N(C)C)cn1)C(=O)[O-],-1.6321269604926194
CC[C@H]1CN(C(=O)[C@@H]2CC[C@@H]3CCCC[C@@H]3[NH2+]2)CCN1C,-2.7729488299292613
CCO[C@@H]1C[C@@H]([NH3+])[C@@H]1Nc1ncc(Cl)cc1F,-2.3515083695569126
Cc1cnn(CCCNC(=O)N2CCCC[C@H](N3CC[NH+](C)CC3)C2)c1,-6.005828523584544
Cc1nn(C)c(CO[C@@H]2CCC[C@@H]([NH3+])C2)c1Cl,-1.749194600131219
C[C@@H]1CC[C@@H](C(=O)[O-])[C@H]2C(=O)N(c3ccccc3)C(=O)[C@@H]21,-1.9464397271225722
Cc1ccc(NC(=O)C(=O)N2CC[C@H]([NH+]3CCCC3)C2)cc1C(=O)N(C)C,-2.663583280447511
CNc1ccccc1C(=O)N1CCN2C(=O)NC[C@H]2C1,-0.8179389672349603
C[C@H]1[C@@H](C)SCC[NH+]1Cc1cccc2cn[nH]c12,-2.7790756352278896
